row_id,app_id,app_name,app_version,cmp_id,cmp_name,cmp_version,cmp_type,app_status,cmp_status,request_id,request_date,request_status,request_step,notes
1,Axx668,Axxcel,1.10,lec54.60,"Axxcel:1.10--Cmp Program-0",2-01-0,Internal,released,approved,58ZVP,2019-7-2,pending,inspection_step," "
2,Axx668,Axxcel,1.10,lec54.61,"Axxcel:1.10--Cmp Program-1",2-01-0,Internal,released,released,47DDN,2015-10-4,submitted,approval_step," "
3,Axx668,Axxcel,1.10,lec54.62,"Axxcel:1.10--Cmp Program-2",2-01-0,Internal,released,in_review,98XWX,2026-4-6,approved,approval_step," "
4,Axx668,Axxcel,1.10,lec54.63,"Axxcel:1.10--Cmp Program-3",2-01-0,Commercial,released,approved,58BJO,2006-2-7,submitted,approval_step,"Open Source. No commercial support"
5,Axx668,Axxcel,1.10,lec54.64,"Axxcel:1.10--Cmp Program-4",2-01-0,Commercial,released,pending,58XVM,2029-3-6,pending,review_step," "
6,Axx668,Axxcel,1.10,lec54.65,"Axxcel:1.10--Cmp Program-5",2-01-0,Other,released,submitted,70ILS,2004-2-28,pending,inspection_step," "
7,Axx668,Axxcel,1.10,lec54.66,"Axxcel:1.10--Cmp Program-6",2-01-0,Internal,released,in_review,34RJV,2030-2-8,submitted,review_step,"Public Domain. No Support"
8,Axx668,Axxcel,1.10,lec54.67,"Axxcel:1.10--Cmp Program-7",2-01-0,Internal,released,in_review,15HHM,2030-4-27,pending,inspection_step," "
9,Axx668,Axxcel,1.10,lec54.68,"Axxcel:1.10--Cmp Program-8",2-01-0,"Open Source",released,submitted,31MWK,2015-10-5,pending,approval_step," "
10,Axx668,Axxcel,1.10,lec54.69,"Axxcel:1.10--Cmp Program-9",2-01-0,Commercial,released,pending,23NVY,2008-5-11,approved,inspection_step," "
11,Axx668,Axxcel,1.10,lec54.610,"Axxcel:1.10--Cmp Program-10",2-01-0,Internal,released,released,26KTS,2018-9-19,approved,review_step,"Public Domain. No Support"
12,Axx668,Axxcel,1.10,lec54.611,"Axxcel:1.10--Cmp Program-11",2-01-0,Commercial,released,released,99GCL,2000-12-27,approved,review_step," "
13,Axx668,Axxcel,1.10,lec54.612,"Axxcel:1.10--Cmp Program-12",2-01-0,Other,released,approved,77IGW,2020-4-22,pending,approval_step," "
14,Axx668,Axxcel,1.10,lec54.613,"Axxcel:1.10--Cmp Program-13",2-01-0,Commercial,released,in_review,81QPK,2019-8-15,approved,review_step," "
15,Axx668,Axxcel,1.10,lec54.614,"Axxcel:1.10--Cmp Program-14",2-01-0,Other,released,pending,45ANH,2002-7-25,submitted,approval_step," "
16,Axx668,Axxcel,1.10,lec54.615,"Axxcel:1.10--Cmp Program-15",2-01-0,Commercial,released,in_review,40RWQ,2022-6-17,submitted,approval_step," "
17,Axx668,Axxcel,1.10,lec54.616,"Axxcel:1.10--Cmp Program-16",2-01-0,"Open Source",released,in_review,28HDS,2007-2-10,pending,review_step," "
18,Axx668,Axxcel,1.10,lec54.617,"Axxcel:1.10--Cmp Program-17",2-01-0,Commercial,released,submitted,23FSL,2004-11-17,submitted,approval_step," "
19,Axx668,Axxcel,1.10,lec54.618,"Axxcel:1.10--Cmp Program-18",2-01-0,Internal,released,released,13FDE,2021-3-22,submitted,review_step,"Public Domain. No Support"
20,Axx668,Axxcel,1.10,lec54.619,"Axxcel:1.10--Cmp Program-19",2-01-0,Other,released,approved,28GFW,2004-7-30,pending,review_step," "
21,Axx258,Axxcel,1.11,lec54.60,"Axxcel:1.11--Cmp Program-0",2-01-1,"Open Source",released,pending,64QDR,2012-4-15,pending,approval_step," "
22,Axx258,Axxcel,1.11,lec54.61,"Axxcel:1.11--Cmp Program-1",2-01-1,"Open Source",released,approved,73PQE,2010-9-12,approved,review_step," "
23,Axx258,Axxcel,1.11,lec54.62,"Axxcel:1.11--Cmp Program-2",2-01-1,Other,released,in_review,14IPG,2027-1-13,submitted,approval_step,"Open Source. No commercial support"
24,Axx258,Axxcel,1.11,lec54.63,"Axxcel:1.11--Cmp Program-3",2-01-1,Other,released,released,88ICW,2017-5-13,submitted,approval_step," "
25,Axx258,Axxcel,1.11,lec54.64,"Axxcel:1.11--Cmp Program-4",2-01-1,Other,released,pending,98WAM,2029-12-2,approved,inspection_step," "
26,Axx258,Axxcel,1.11,lec54.65,"Axxcel:1.11--Cmp Program-5",2-01-1,"Open Source",released,submitted,77IDQ,2007-5-30,submitted,review_step," "
27,Axx258,Axxcel,1.11,lec54.66,"Axxcel:1.11--Cmp Program-6",2-01-1,Internal,released,pending,11WIJ,2013-11-11,pending,inspection_step," "
28,Axx258,Axxcel,1.11,lec54.67,"Axxcel:1.11--Cmp Program-7",2-01-1,"Open Source",released,in_review,72GEW,2006-11-16,approved,approval_step,"Open Source. No commercial support"
29,Axx258,Axxcel,1.11,lec54.68,"Axxcel:1.11--Cmp Program-8",2-01-1,Other,released,submitted,92YXE,2008-4-7,approved,approval_step," "
30,Axx258,Axxcel,1.11,lec54.69,"Axxcel:1.11--Cmp Program-9",2-01-1,Internal,released,approved,50FKP,2009-7-15,pending,inspection_step,"Public Domain. No Support"
31,Axx258,Axxcel,1.11,lec54.610,"Axxcel:1.11--Cmp Program-10",2-01-1,"Open Source",released,released,21HNQ,2017-2-8,submitted,inspection_step," "
32,Axx258,Axxcel,1.11,lec54.611,"Axxcel:1.11--Cmp Program-11",2-01-1,"Open Source",released,in_review,54KRZ,2008-6-6,submitted,approval_step," "
33,Axx258,Axxcel,1.11,lec54.612,"Axxcel:1.11--Cmp Program-12",2-01-1,"Open Source",released,submitted,68QTQ,2024-11-21,approved,review_step," "
34,Axx258,Axxcel,1.11,lec54.613,"Axxcel:1.11--Cmp Program-13",2-01-1,"Open Source",released,approved,88HKD,2001-10-31,submitted,approval_step," "
35,Axx258,Axxcel,1.11,lec54.614,"Axxcel:1.11--Cmp Program-14",2-01-1,Other,released,approved,85MEU,2023-6-20,approved,review_step,"Public Domain. No Support"
36,Axx258,Axxcel,1.11,lec54.615,"Axxcel:1.11--Cmp Program-15",2-01-1,Other,released,approved,59ALW,2018-8-17,pending,approval_step," "
37,Axx258,Axxcel,1.11,lec54.616,"Axxcel:1.11--Cmp Program-16",2-01-1,Internal,released,submitted,41XIT,2028-2-10,pending,review_step,"Open Source. No commercial support"
38,Axx258,Axxcel,1.11,lec54.617,"Axxcel:1.11--Cmp Program-17",2-01-1,Other,released,approved,37XZZ,2027-6-24,approved,review_step," "
39,Axx258,Axxcel,1.11,lec54.618,"Axxcel:1.11--Cmp Program-18",2-01-1,"Open Source",released,submitted,64YSM,2001-1-20,submitted,approval_step," "
40,Axx258,Axxcel,1.11,lec54.619,"Axxcel:1.11--Cmp Program-19",2-01-1,Other,released,pending,77MRH,2004-3-2,approved,review_step," "
41,Axx302,Axxcel,1.12,lec54.60,"Axxcel:1.12--Cmp Program-0",2-01-2,"Open Source",released,released,22CID,2024-6-8,submitted,approval_step," "
42,Axx302,Axxcel,1.12,lec54.61,"Axxcel:1.12--Cmp Program-1",2-01-2,Commercial,released,pending,58RGC,2001-12-28,approved,approval_step,"Public Domain. No Support"
43,Axx302,Axxcel,1.12,lec54.62,"Axxcel:1.12--Cmp Program-2",2-01-2,Other,released,in_review,16WXS,2004-2-19,pending,review_step,"Open Source. No commercial support"
